player,birthday,year,month,yrs
Freddie Lewis,06/01/21,1921,january,2
Tom Marshall,06/01/31,1931,january,4
Pearl Washington,06/01/64,1964,january,3
Jordan Bell,07/01/95,1995,january,3
Jesse Branson,07/01/42,1942,january,2
JamesOn Curry,07/01/86,1986,january,1
Marquis Daniels,07/01/81,1981,january,10
Todd Day,07/01/70,1970,january,8
Reece Gaines,07/01/81,1981,january,3
Dan King,07/01/31,1931,january,1
Johnny Macknowski,07/01/23,1923,january,2
Don Rehfeldt,07/01/27,1927,january,2
Deb Smith,07/01/20,1920,january,1
Jarnell Stokes,07/01/94,1994,january,3
Trevor Winter,07/01/74,1974,january,1
Willie Anderson,08/01/67,1967,january,9
Tony Bradley,08/01/98,1998,january,3
Ignas Brazdeikis,08/01/99,1999,january,1
Bill Closs,08/01/22,1922,january,3
Hook Dillon,08/01/24,1924,january,1
Chris Douglas-Roberts,08/01/87,1987,january,6
Cedrick Hordges,08/01/57,1957,january,2
Greg Howard,08/01/48,1948,january,2
Todd Lichti,08/01/67,1967,january,5
Kevin McKenna,08/01/59,1959,january,6
Calvin Natt,08/01/57,1957,january,11
Larry Owens,08/01/83,1983,january,2
Glenn Robinson,08/01/94,1994,january,6
Greg Smith,08/01/91,1991,january,5
Sam Smith,08/01/55,1955,january,2
Granville Waiters,08/01/61,1961,january,5
Michael Beasley,09/01/89,1989,january,11
Muggsy Bogues,09/01/65,1965,january,14
M.L. Carr,09/01/51,1951,january,10
Fred Diute,09/01/29,1929,january,1
Sharrod Ford,09/01/82,1982,january,1
Bobby Jones,09/01/84,1984,january,2
Terrence Jones,09/01/92,1992,january,6
Luka Šamanić,09/01/00,2000,january,1
Samardo Samuels,09/01/89,1989,january,3
Aaron Swinson,09/01/71,1971,january,1
A.J. Bramlett,10/01/77,1977,january,1
George Carter,10/01/44,1944,january,8
Carl Fuller,10/01/46,1946,january,2
Georgi Glouchkov,10/01/60,1960,january,1
Herm Hedderick,10/01/30,1930,january,1
Glenn Robinson,10/01/73,1973,january,11
Tremont Waters,10/01/98,1998,january,1
Bud Acton,11/01/42,1942,january,1
Tony Allen,11/01/82,1982,january,14
Wally Anderzunas,11/01/46,1946,january,1
Chris Boucher,11/01/93,1993,january,3
Gary Brokaw,11/01/54,1954,january,4
Darryl Dawkins,11/01/57,1957,january,14
Chris Ford,11/01/49,1949,january,10
Chris Jent,11/01/70,1970,january,2
Terence Morris,11/01/79,1979,january,3
Efthimi Rentzias,11/01/76,1976,january,1
Larry Robinson,11/01/68,1968,january,7
Andre Wakefield,11/01/55,1955,january,2
Damien Wilkins,11/01/80,1980,january,10
Jamel Artis,12/01/93,1993,january,1
Arthur Becker,12/01/42,1942,january,6
Scott Burrell,12/01/71,1971,january,8
Bonzie Colson,12/01/96,1996,january,1
Robert Hite,12/01/84,1984,january,1
Charles Jones,12/01/62,1962,january,4
Joe Kennedy,12/01/47,1947,january,3
Hamady N'Diaye,12/01/87,1987,january,3
Jim Ray,12/01/34,1934,january,2
Campy Russell,12/01/52,1952,january,9
Claude Terry,12/01/50,1950,january,6
Dominique Wilkins*,12/01/60,1960,january,15
Henry Ellenson,13/01/97,1997,january,4
Tom Gola*,13/01/33,1933,january,10
Art Harris,13/01/47,1947,january,4
Vern Hatton,13/01/36,1936,january,4
Earl Jones,13/01/61,1961,january,2
Alec Kessler,13/01/67,1967,january,4
James Posey,13/01/77,1977,january,12
Jason Sasser,13/01/74,1974,january,2
Ronny Turiaf,13/01/83,1983,january,10
Ron Behagen,14/01/51,1951,january,7
Hank Biasatti,14/01/22,1922,january,1
Mike Bloom,14/01/15,1915,january,2
Aaron Brooks,14/01/85,1985,january,10
Ray Corley,14/01/28,1928,january,3
Wayne Hightower,14/01/40,1940,january,10
John Lambert,14/01/53,1953,january,7
Jeff Martin,14/01/67,1967,january,2
Swen Nater,14/01/50,1950,january,11
David Nwaba,14/01/93,1993,january,4
Kenny Sailors,14/01/21,1921,january,5
Jeff Sanders,14/01/66,1966,january,4
Kadeem Allen,15/01/93,1993,january,3
Cliff Barker,15/01/21,1921,january,3
Bob Davies*,15/01/20,1920,january,7
Ernie DiGregorio,15/01/51,1951,january,5
Joe Graboski,15/01/30,1930,january,13
Jim Hadnot,15/01/40,1940,january,1
Nate Hawthorne,15/01/50,1950,january,3
Fred Hilton,15/01/48,1948,january,2
George King,15/01/94,1994,january,1
Don Kojis,15/01/39,1939,january,12
Pavel Podkolzin,15/01/85,1985,january,2
Roger Powell,15/01/83,1983,january,1
Donald Sloan,15/01/88,1988,january,5
Al Smith,15/01/47,1947,january,5
Ricky Sobers,15/01/53,1953,january,11
Felton Spencer,15/01/68,1968,january,12
Bobby Wilson,15/01/51,1951,january,4
Jeff Foster,16/01/77,1977,january,13
Gerald Henderson,16/01/56,1956,january,13
Cedric Hunter,16/01/65,1965,january,1
Ervin Inniger,16/01/45,1945,january,2
Marc Jackson,16/01/75,1975,january,7
Randell Jackson,16/01/76,1976,january,2
C.J. Kupec,16/01/53,1953,january,3
Don MacLean,16/01/70,1970,january,9
Ron Moore,16/01/62,1962,january,1
Zhou Qi,16/01/96,1996,january,2
Justin Reed,16/01/82,1982,january,3
Mel Thurston,16/01/19,1919,january,1
Greivis Vásquez,16/01/87,1987,january,7
Earl Clark,17/01/88,1988,january,6
Donnie Forman,17/01/26,1926,january,1
Tony Jackson,17/01/58,1958,january,1
Dirk Minniefield,17/01/61,1961,january,3
Barry Stevens,17/01/63,1963,january,1
Allonzo Trier,17/01/96,1996,january,2
Dwyane Wade,17/01/82,1982,january,16
Casper Ware,17/01/90,1990,january,1
Sam Worthen,17/01/58,1958,january,2
Tyler Zeller,17/01/90,1990,january,8
juner Burrough,18/01/73,1973,january,1
Gorgui Dieng,18/01/90,1990,january,7
Bob Hansen,18/01/61,1961,january,9
Cozell McQueen,18/01/62,1962,january,1
Larry Smith,18/01/58,1958,january,13
Bud Stallworth,18/01/50,1950,january,5
Gary Suiter,18/01/45,1945,january,1
Gary Trent,18/01/99,1999,january,2
Michael Adams,19/01/63,1963,january,11
Marty Conlon,19/01/68,1968,january,9
Dillard Crocker,19/01/25,1925,january,4
Grant Gondrezick,19/01/63,1963,january,2
Tito Horford,19/01/66,1966,january,3
Luc Longley,19/01/69,1969,january,10
Arvydas Macijauskas,19/01/80,1980,january,1
JaVale McGee,19/01/88,1988,january,12
Gary Melchionni,19/01/51,1951,january,2
Bill Mlkvy,19/01/31,1931,january,1
Buddy O'Grady,19/01/20,1920,january,3
Phil Rollins,19/01/34,1934,january,3
Clinton Smith,19/01/64,1964,january,2
Andy Toolson,19/01/66,1966,january,2
Nick Anderson,20/01/68,1968,january,13
Paul Griffin,20/01/54,1954,january,7
Ron Harper,20/01/64,1964,january,15
Tyler Herro,20/01/00,2000,january,1
Bailey Howell*,20/01/37,1937,january,12
Chris Morris,20/01/66,1966,january,11
Ira Newble,20/01/75,1975,january,8
Jason Richardson,20/01/81,1981,january,13
David Rivers,20/01/65,1965,january,3
Bill Robinzine,20/01/53,1953,january,7
Dick Rosenthal,20/01/30,1930,january,2
Norm Stewart,20/01/35,1935,january,1
Clint Wager,20/01/20,1920,january,1
Alex Acker,21/01/83,1983,january,2
Doug Edwards,21/01/71,1971,january,3
Jack Eskridge,21/01/24,1924,january,1
Sidney Lowe,21/01/60,1960,january,4
Kenny McIntosh,21/01/49,1949,january,4
Howard Nathan,21/01/72,1972,january,1
Hakeem Olajuwon*,21/01/63,1963,january,18
Chuck Osborne,21/01/39,1939,january,1
Clifford Ray,21/01/49,1949,january,10
Michael Ruffin,21/01/77,1977,january,9
Detlef Schrempf,21/01/63,1963,january,16
Tom Stith,21/01/39,1939,january,1
Mike Taylor,21/01/86,1986,january,1
Dillon Brooks,22/01/96,1996,january,3
Larry Conley,22/01/44,1944,january,1
Quintin Dailey,22/01/61,1961,january,10
Jackie Dinkins,22/01/50,1950,january,1
Mike Iuzzolino,22/01/68,1968,january,2
Greg Oden,22/01/88,1988,january,3
Leon Powe,22/01/84,1984,january,5
Lennie Rosenbluth,22/01/33,1933,january,2
Frank Schade,22/01/50,1950,january,1
Xavier Silas,22/01/88,1988,january,2
Bill Stricker,22/01/48,1948,january,1
Stojko Vranković,22/01/64,1964,january,5
Sam Williams,22/01/45,1945,january,2
Keita Bates-Diop,23/01/96,1996,january,2
Joe Colone,23/01/24,1924,january,1
Tom Hoover,23/01/41,1941,january,5
Larry Hughes,23/01/79,1979,january,13
Bob McIntyre,23/01/44,1944,january,2
John Pritchard,23/01/27,1927,january,1
Frankie Sanders,23/01/57,1957,january,2
Stan Washington,23/01/52,1952,january,1
Haywoode Workman,23/01/66,1966,january,8
Lonnie Wright,23/01/45,1945,january,5
Red Dehnert,24/01/24,1924,january,1
Fennis Dembo,24/01/66,1966,january,1
Mark Eaton,24/01/57,1957,january,11
Trey Gilder,24/01/85,1985,january,1
Justin James,24/01/97,1997,january,1
Stevin Smith,24/01/72,1972,january,1
DaJuan Summers,24/01/88,1988,january,4
Kelvin Upshaw,24/01/63,1963,january,3
Ed Beach,25/01/29,1929,january,1
Byron Beck,25/01/45,1945,january,10
Tim Kempton,25/01/64,1964,january,8
Acie Law,25/01/85,1985,january,4
Dick McGuire*,25/01/26,1926,january,11
Chris Mills,25/01/70,1970,january,10
George Nostrand,25/01/24,1924,january,4
Ralph Ogden,25/01/48,1948,january,1
Bob Peterson,25/01/32,1932,january,3
Richard Petruška,25/01/69,1969,january,1
Josh Powell,25/01/83,1983,january,7
Rollie Seltz,25/01/24,1924,january,1
Zeke Sinicola,25/01/29,1929,january,2
Walt Wesley,25/01/45,1945,january,10
Randy Allen,26/01/65,1965,january,2
MarShon Brooks,26/01/89,1989,january,5
Vince Carter,26/01/77,1977,january,22
Ronald Dupree,26/01/81,1981,january,6
Bob Ford,26/01/50,1950,january,1
Darius Garland,26/01/00,2000,january,1
Gerald Green,26/01/86,1986,january,12
Montrezl Harrell,26/01/94,1994,january,5
Tom Henderson,26/01/52,1952,january,9
Reggie Jordan,26/01/68,1968,january,6
Nicolò Melli,26/01/91,1991,january,1
Bob O'Brien,26/01/27,1927,january,2
Hubie White,26/01/40,1940,january,4
Sly Williams,26/01/58,1958,january,7
Vann Williford,26/01/48,1948,january,1
Lonny Baxter,27/01/79,1979,january,4
Wesley Cox,27/01/55,1955,january,2
Harry Davis,27/01/56,1956,january,2
Jack Haley,27/01/64,1964,january,9
Frank Kornet,27/01/67,1967,january,2
Russ Lee,27/01/50,1950,january,3
Todd MacCulloch,27/01/76,1976,january,4
Johan Petro,27/01/86,1986,january,8
Connie Rea,27/01/31,1931,january,1
Sam Smith,27/01/44,1944,january,4
Jiří Welsch,27/01/80,1980,january,4
Tony Windis,27/01/33,1933,january,1
Jerome Allen,28/01/73,1973,january,2
Joel Bolomboy,28/01/94,1994,january,2
Jim Bostic,28/01/53,1953,january,1
Michael Cage,28/01/62,1962,january,15
Jim Caldwell,28/01/43,1943,january,2
Omar Cook,28/01/82,1982,january,2
Tony Delk,28/01/74,1974,january,10
Andre Iguodala,28/01/84,1984,january,16
Carldell Johnson,28/01/83,1983,january,1
Mark Madsen,28/01/76,1976,january,9
Greg Smith,28/01/47,1947,january,8
Joe Stephens,28/01/73,1973,january,3
Fred Vinson,28/01/71,1971,january,2
Alan Williams,28/01/93,1993,january,4
Greg Ballard,29/01/55,1955,january,11
Nathaniel Barnett,29/01/53,1953,january,1
Markel Brown,29/01/92,1992,january,3
Dexter Cambridge,29/01/70,1970,january,1
Marc Gasol,29/01/85,1985,january,12
Tom Hagan,29/01/47,1947,january,2
Bob Hogsett,29/01/41,1941,january,2
Eddie Jordan,29/01/55,1955,january,7
Stacey King,29/01/67,1967,january,8
Maxi Kleber,29/01/92,1992,january,3
Shawn Long,29/01/93,1993,january,1
Marv Roberts,29/01/50,1950,january,6
Jonathan Bender,30/01/81,1981,january,8
Ernie Calverley,30/01/24,1924,january,3
DeSagana Diop,30/01/82,1982,january,12
Swede Halbrook,30/01/33,1933,january,2
Nat Hickey,30/01/02,1902,january,1
Harold Johnson,30/01/20,1920,january,1
Jack Kerris,30/01/25,1925,january,4
Curtis Kitchen,30/01/64,1964,january,1
Paul Neumann,30/01/38,1938,january,6
Rick Robey,30/01/56,1956,january,8
Jalen Rose,30/01/73,1973,january,13
Paul Seymour,30/01/28,1928,january,12
Otis Smith,30/01/64,1964,january,6
Mychal Thompson,30/01/55,1955,january,12
Slavko Vraneš,30/01/83,1983,january,1
Henry Ward,30/01/52,1952,january,2
Sharone Wright,30/01/73,1973,january,4
Barry Yates,30/01/46,1946,january,1
Deonte Burton,31/01/94,1994,january,2
Len Chappell,31/01/41,1941,january,10
Ed Dahler,31/01/26,1926,january,1
Donte DiVincenzo,31/01/97,1997,january,2
Johnny Egan,31/01/39,1939,january,11
Dick Garrett,31/01/47,1947,january,5
Othella Harrington,31/01/74,1974,january,12
Phil Hicks,31/01/53,1953,january,2
Rod Higgins,31/01/60,1960,january,13
Kenny Higgs,31/01/55,1955,january,3
Tom Hovasse,31/01/67,1967,january,1
Charles Jordan,31/01/54,1954,january,1
Nicolás Laprovíttola,31/01/90,1990,january,1
Hal Lear,31/01/35,1935,january,1
Jalen McDaniels,31/01/98,1998,january,1
Larry McNeill,31/01/51,1951,january,6
Tyrone Nesby,31/01/76,1976,january,4
Jameel Warney,31/01/94,1994,january,1
Deng Adel,01/02/97,1997,february,1
Walter Bond,01/02/69,1969,february,3
Branden Dawson,01/02/93,1993,february,1
Andrew DeClercq,01/02/73,1973,february,10
Marcus Derrickson,01/02/96,1996,february,1
T.R. Dunn,01/02/55,1955,february,14
Drew Eubanks,01/02/97,1997,february,2
George Irvine,01/02/48,1948,february,6
Ken Johnson,01/02/78,1978,february,1
Lari Ketner,01/02/77,1977,february,2
Kevin Martin,01/02/83,1983,february,12
Walter McCarty,01/02/74,1974,february,10
Eric Mobley,01/02/70,1970,february,3
Malik Sealy,01/02/70,1970,february,8
Dick Snyder,01/02/44,1944,february,13
Brett Szabo,01/02/68,1968,february,1
Robert Traylor,01/02/77,1977,february,7
Lance Allred,02/02/81,1981,february,1
Morris Almond,02/02/85,1985,february,3
Jerry Bird,02/02/35,1935,february,1
Charlie Brown,02/02/97,1997,february,1
Antonius Cleveland,02/02/94,1994,february,2
Franklin Edwards,02/02/59,1959,february,7
Sean Elliott,02/02/68,1968,february,12
Dan Gadzuric,02/02/78,1978,february,10
Chris Garner,02/02/75,1975,february,2
Sean Green,02/02/70,1970,february,3
Scott Haffner,02/02/66,1966,february,2
Steve Henson,02/02/68,1968,february,7
Robin Jones,02/02/54,1954,february,2
Clarence Kea,02/02/59,1959,february,2
Al Miksis,02/02/28,1928,february,1
Richard Morton,02/02/66,1966,february,1
Warren Perkins,02/02/22,1922,february,2
Elmer Behnke,03/02/29,1929,february,1
Jim Brasco,03/02/31,1931,february,1
Vlade Divac*,03/02/68,1968,february,16
Bruce Kuczenski,03/02/61,1961,february,1
Paul Napolitano,03/02/23,1923,february,1
Robert Pack,03/02/69,1969,february,13
Norvel Pelle,03/02/93,1993,february,1
Isaiah Roby,03/02/98,1998,february,1
Darnell Valentine,03/02/59,1959,february,9
Thomas Welsh,03/02/96,1996,february,1
Al Williams,03/02/48,1948,february,1
Lavoy Allen,04/02/89,1989,february,6
Gerry Calabrese,04/02/25,1925,february,2
Jo Jo English,04/02/70,1970,february,3
Vern Fleming,04/02/62,1962,february,12
Orien Greene,04/02/82,1982,february,4
Neil Johnston*,04/02/29,1929,february,8
Jason Kapono,04/02/81,1981,february,9
Jim Loscutoff,04/02/30,1930,february,9
Guy Manning,04/02/44,1944,february,2
Malik Monk,04/02/98,1998,february,3
Ivan Rabb,04/02/97,1997,february,2
Dajuan Wagner,04/02/83,1983,february,4
Lee Winfield,04/02/47,1947,february,7
John Beasley,05/02/44,1944,february,7
Ron Filipek,05/02/44,1944,february,1
Jim Garvin,05/02/50,1950,february,1
Coulby Gunther,05/02/23,1923,february,2
Dennis Horner,05/02/88,1988,february,1
Rodions Kurucs,05/02/98,1998,february,2
Maciej Lampe,05/02/85,1985,february,3
Al Masino,05/02/28,1928,february,2
Chris McCullough,05/02/95,1995,february,3
Gaylon Nickerson,05/02/69,1969,february,1
Chasson Randle,05/02/93,1993,february,3
Terrence Ross,05/02/91,1991,february,8
Fred Taylor,05/02/48,1948,february,2
Corny Thompson,05/02/60,1960,february,1
Danny Doyle,06/02/40,1940,february,1
Jonny Flynn,06/02/89,1989,february,3
Don Hanrahan,06/02/29,1929,february,1
Jerome Harmon,06/02/69,1969,february,1
Kris Humphries,06/02/85,1985,february,13
John Kuester,06/02/55,1955,february,3
Kevon Looney,06/02/96,1996,february,5
Eric Money,06/02/55,1955,february,6
Shawn Respert,06/02/72,1972,february,4
Carlos Rogers,06/02/71,1971,february,8
C.J. Williams,06/02/90,1990,february,2
Antoine Wright,06/02/84,1984,february,6
Tim Young,06/02/76,1976,february,1
Dalibor Bagarić,07/02/80,1980,february,3
Nick Calathes,07/02/89,1989,february,2
Joel Freeland,07/02/87,1987,february,3
Juwan Howard,07/02/73,1973,february,19
Bernard James,07/02/85,1985,february,3
Eric Johnson,07/02/66,1966,february,1
Jim King,07/02/41,1941,february,10
Fred LaCour,07/02/38,1938,february,3
Don Martin,07/02/20,1920,february,3
Dwayne McClain,07/02/63,1963,february,1
Matt Mooney,07/02/97,1997,february,1
Steve Nash*,07/02/74,1974,february,18
Mike O'Koren,07/02/58,1958,february,8
Milt Palacio,07/02/78,1978,february,7
Mickaël Piétrus,07/02/82,1982,february,10
Cameron Reynolds,07/02/95,1995,february,1
Stanley Roberts,07/02/70,1970,february,8
Dick Shrider,07/02/23,1923,february,1
Isaiah Thomas,07/02/89,1989,february,9
Kevin Thompson,07/02/71,1971,february,1
Rick Wilson,07/02/56,1956,february,2
Willie Allen,08/02/49,1949,february,1
Michael Ansley,08/02/67,1967,february,3
Donnie Butcher,08/02/36,1936,february,5
Will Cherry,08/02/91,1991,february,1
Stephen Chubin,08/02/44,1944,february,3
Jerry Eaves,08/02/59,1959,february,4
Warren Fenley,08/02/22,1922,february,1
Thomas Gardner,08/02/85,1985,february,2
Rui Hachimura,08/02/98,1998,february,1
Alexander Johnson,08/02/83,1983,february,2
JaJuan Johnson,08/02/89,1989,february,1
Marques Johnson,08/02/56,1956,february,11
Paul Long,08/02/44,1944,february,4
Scooter McCray,08/02/60,1960,february,3
Alonzo Mourning*,08/02/70,1970,february,15
Klay Thompson,08/02/90,1990,february,8
John Abramovic,09/02/19,1919,february,2
Maurice Ager,09/02/84,1984,february,4
Winston Bennett,09/02/65,1965,february,3
Tyler Cavanaugh,09/02/94,1994,february,2
Kenny Fields,09/02/62,1962,february,4
Phil Ford,09/02/56,1956,february,7
Al Henry,09/02/49,1949,february,2
Doug Holcomb,09/02/25,1925,february,1
K.J. McDaniels,09/02/93,1993,february,3
Jameer Nelson,09/02/82,1982,february,14
Stephen Previs,09/02/50,1950,february,1
George Stone,09/02/46,1946,february,4
Derek Strong,09/02/68,1968,february,10
John Wallace,09/02/74,1974,february,7
Jeff Adrien,10/02/86,1986,february,5
Josh Akognon,10/02/86,1986,february,1
Sterling Brown,10/02/95,1995,february,3
Josh Jackson,10/02/97,1997,february,3
Abdul Jeelani,10/02/54,1954,february,2
Jumaine Jones,10/02/79,1979,february,8
Andy Kostecka,10/02/21,1921,february,1
Tom LaGarde,10/02/55,1955,february,6
Paul Millsap,10/02/85,1985,february,14
Zaza Pachulia,10/02/84,1984,february,16
Bobby Portis,10/02/95,1995,february,5
Glynn Saulters,10/02/45,1945,february,1
Chips Sobek,10/02/20,1920,february,1
Diamond Stone,10/02/97,1997,february,1
Bruno Šundov,10/02/80,1980,february,7
Jared Terrell,10/02/95,1995,february,1
Tony Battie,11/02/76,1976,february,14
Boo Ellis,11/02/36,1936,february,2
Calvin Fowler,11/02/40,1940,february,1
Billy James,11/02/50,1950,february,1
Nassir Little,11/02/00,2000,february,1
Ben McLemore,11/02/93,1993,february,7
Darnell Mee,11/02/71,1971,february,2
Nikola Mirotić,11/02/91,1991,february,5
Dyron Nix,11/02/67,1967,february,1
Jeremy Richardson,11/02/84,1984,february,3
Lee Robbins,11/02/22,1922,february,2
Sam Sibert,11/02/49,1949,february,1
James Silas,11/02/49,1949,february,10
Alando Tucker,11/02/84,1984,february,3
Jacque Vaughn,11/02/75,1975,february,12
Al Cervi*,12/02/17,1917,february,4
Dell Demps,12/02/70,1970,february,3
Hank DeZonie,12/02/22,1922,february,1
A.J. Guyton,12/02/78,1978,february,3
Josh Harrellson,12/02/89,1989,february,3
Tom Ingelsby,12/02/51,1951,february,3
Tom Kropp,12/02/53,1953,february,2
Larry Nance,12/02/59,1959,february,13
Jerry Pender,12/02/50,1950,february,1
Scot Pollard,12/02/75,1975,february,11
Bill Russell*,12/02/34,1934,february,13
Jabari Smith,12/02/77,1977,february,4
Keith Appling,13/02/92,1992,february,1
Elmer Bennett,13/02/70,1970,february,3
J.R. Giddens,13/02/85,1985,february,2
Chris Jefferies,13/02/80,1980,february,2
Dan Kraus,13/02/23,1923,february,1
Michael McDonald,13/02/69,1969,february,1
Ed Melvin,13/02/16,1916,february,1
Jerry Pettway,13/02/44,1944,february,2
Kendall Rhine,13/02/43,1943,february,2
Jackie Ridgle,13/02/48,1948,february,1
Luke Ridnour,13/02/81,1981,february,12
Jeryl Sasser,13/02/79,1979,february,2
Chris Babb,14/02/90,1990,february,1
Fred Carter,14/02/45,1945,february,8
Tyus Edney,14/02/73,1973,february,4
Jerry Fleishman,14/02/22,1922,february,5
Richard Hamilton,14/02/78,1978,february,14
Wali Jones,14/02/42,1942,february,11
Reggie King,14/02/57,1957,february,6
Carl McNulty,14/02/30,1930,february,1
Byron Mullens,14/02/89,1989,february,5
Gheorghe Mureșan,14/02/71,1971,february,6
Rodney Purvis,14/02/94,1994,february,1
Anthony Roberson,14/02/83,1983,february,3
William Smith,14/02/49,1949,february,2
Darius Songaila,14/02/78,1978,february,8
Dan Anderson,15/02/43,1943,february,2
Don Asmonga,15/02/28,1928,february,1
Eddie Basden,15/02/83,1983,february,1
Nate Blackwell,15/02/65,1965,february,1
Gene James,15/02/25,1925,february,3
Derrick Jones,15/02/97,1997,february,4
Mark Price,15/02/64,1964,february,12
Pete Verhoeven,15/02/59,1959,february,6
Tony White,15/02/65,1965,february,1
Larry Finch,16/02/51,1951,february,2
Gary Leonard,16/02/67,1967,february,3
Forrest McKenzie,16/02/63,1963,february,1
Craig Neal,16/02/64,1964,february,2
Martin Nessley,16/02/65,1965,february,1
Richard Rellford,16/02/64,1964,february,1
Pep Saul,16/02/24,1924,february,6
Hasheem Thabeet,16/02/87,1987,february,5
Kelly Tripucka,16/02/59,1959,february,10
Coby White,16/02/00,2000,february,1
Herb Williams,16/02/58,1958,february,18
Shawne Williams,16/02/86,1986,february,7
Qyntel Woods,16/02/81,1981,february,4
Stacey Arceneaux,17/02/36,1936,february,1
Norm Baker,17/02/23,1923,february,1
Drew Barry,17/02/73,1973,february,3
Gene Dyker,17/02/30,1930,february,1
Marcin Gortat,17/02/84,1984,february,12
Al Harrington,17/02/80,1980,february,16
Mike Higgins,17/02/67,1967,february,2
Michael Jordan*,17/02/63,1963,february,15
Ray Kuka,17/02/22,1922,february,2
Phil Pressey,17/02/91,1991,february,3
Bob Santini,17/02/35,1935,february,1
Gus Bailey,18/02/51,1951,february,5
Kentavious Caldwell-Pope,18/02/93,1993,february,7
Randy Denton,18/02/49,1949,february,6
Tyler Dorsey,18/02/96,1996,february,2
Pat Frink,18/02/45,1945,february,1
Jim Hayes,18/02/48,1948,february,1
Andrei Kirilenko,18/02/81,1981,february,13
Maurice Lucas,18/02/52,1952,february,14
Jason Maxiell,18/02/83,1983,february,10
Sylvester Norris,18/02/57,1957,february,1
Marv Schatzman,18/02/27,1927,february,1
Tom Sluby,18/02/62,1962,february,1
Bill Turner,18/02/44,1944,february,6
Kyle Weaver,18/02/86,1986,february,3
Fly Williams,18/02/53,1953,february,1
Marv Winkler,18/02/48,1948,february,2
Paul Zipser,18/02/94,1994,february,2
Lewis Brown,19/02/55,1955,february,1
Tommy Byrnes,19/02/23,1923,february,5
